,hex_id,value,geometry
51,87344124affffff,0,"{'type': 'Polygon', 'coordinates': [((-16.741362756645245, 28.100094689537784), (-16.751415070295117, 28.08963541262698), (-16.746324007039178, 28.076847951504472), (-16.73118433745175, 28.074518987008574), (-16.721132175783016, 28.084976025899863), (-16.7262195309082, 28.097764266979063), (-16.741362756645245, 28.100094689537784))]}"
52,87344cd25ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.30225378991595, 28.500260238273388), (-16.31238571217149, 28.489834685389063), (-16.30734473378442, 28.477018252294698), (-16.292175607255466, 28.474626647390437), (-16.28204391133702, 28.485049973481924), (-16.287081114807133, 28.49786713093662), (-16.30225378991595, 28.500260238273388))]}"
53,873441261ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.69626772997566, 28.201217943022282), (-16.706335094181053, 28.19076073358563), (-16.701245668216984, 28.177966514823936), (-16.686092597302807, 28.175628732321737), (-16.676025392885833, 28.186083706352132), (-16.681111098781496, 28.19887869796283), (-16.69626772997566, 28.201217943022282))]}"
54,87344ccb5ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.585331669552797, 28.280145423521493), (-16.59541665017591, 28.26969707929998), (-16.590341104595883, 28.25689682857366), (-16.575184312687398, 28.254544162382093), (-16.565099510503842, 28.264990273394112), (-16.57017132097895, 28.27779128347738), (-16.585331669552797, 28.280145423521493))]}"
55,87344cd21ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.30734473378442, 28.477018252294698), (-16.317473589139407, 28.46659263965709), (-16.312433093394816, 28.45377764986052), (-16.297267514037777, 28.451387546917235), (-16.287138884056315, 28.461810932143358), (-16.292175607255466, 28.474626647390437), (-16.30734473378442, 28.477018252294698))]}"
56,87344c531ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.625336067135997, 28.094198535600366), (-16.6353966938072, 28.08375033011601), (-16.63032521505915, 28.070962000415552), (-16.615196825205278, 28.068621107912765), (-16.605136369628102, 28.07906707540015), (-16.61020413200379, 28.09185617305805), (-16.625336067135997, 28.094198535600366))]}"
57,87344cd91ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.590541122347858, 28.36506316111428), (-16.6006354407168, 28.354612604106293), (-16.595554124964636, 28.341807241599227), (-16.58038223196216, 28.33945167787802), (-16.57028809151485, 28.34990000383461), (-16.575365665335518, 28.36270612423408), (-16.590541122347858, 28.36506316111428))]}"
58,87344134bffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.68630426693253, 28.2477253103141), (-16.696377723638967, 28.237268062452), (-16.69128726349793, 28.22447087753348), (-16.676127070590443, 28.222130169442323), (-16.66605377549065, 28.23258518309248), (-16.67114051087773, 28.245383138717433), (-16.68630426693253, 28.2477253103141))]}"
59,87344cc80ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.57512396083814, 28.218500465480833), (-16.585202666538148, 28.208054364810273), (-16.580132372477937, 28.19525779353364), (-16.564987102550027, 28.19290656284966), (-16.554908576725552, 28.203350428762935), (-16.55997514014535, 28.21614775978751), (-16.57512396083814, 28.218500465480833))]}"
60,87346a69cffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.357854464424005, 28.569138364771415), (-16.367990117457044, 28.558706199360863), (-16.362935872977985, 28.54588620829565), (-16.347749751403846, 28.54349765372511), (-16.337614315829097, 28.553927593946653), (-16.34266478356242, 28.566748313594655), (-16.357854464424005, 28.569138364771415))]}"
61,873441235ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.90410294753204, 28.32923351436563), (-16.914168674954695, 28.31875399033889), (-16.90903733355232, 28.30595433135622), (-16.893843978894182, 28.303633404509686), (-16.883778377231053, 28.314110696168573), (-16.88890600364046, 28.32691114671685), (-16.90410294753204, 28.32923351436563))]}"
62,87346a6f3ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.22632578439063, 28.524334776970186), (-16.23646621971678, 28.51391610476726), (-16.231436573717236, 28.501097507172428), (-16.216270274136974, 28.498696865668048), (-16.206130077861637, 28.509113311973145), (-16.21115594131534, 28.521932625345475), (-16.22632578439063, 28.524334776970186))]}"
63,87344131bffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.899166047592274, 28.352514178533934), (-16.90923482776492, 28.342034634859925), (-16.90410294753204, 28.32923351436563), (-16.88890600364046, 28.32691114671685), (-16.87883735011474, 28.337388458617937), (-16.883965513007162, 28.350190369615667), (-16.899166047592274, 28.352514178533934))]}"
64,87344cc91ffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.625578723942503, 28.202302495291796), (-16.635651685951487, 28.191851951121652), (-16.63057393833885, 28.179056907850253), (-16.615426953394167, 28.176711642999347), (-16.605354162860575, 28.187159951905233), (-16.610428184986304, 28.199955760597067), (-16.625578723942503, 28.202302495291796))]}"
65,87344124bffffff,0,"{'type': 'Polygon', 'coordinates': [((-16.721132175783016, 28.084976025899863), (-16.73118433745175, 28.074518987008574), (-16.72609750055084, 28.061732249789266), (-16.71096220955892, 28.059401772934383), (-16.70091020315603, 28.0698565734511), (-16.705993331668182, 28.082644088869475), (-16.721132175783016, 28.084976025899863))]}"
