,Hex Id,Score,Average price per bedroom,Nº of Airbnbs listed
297,88344c524dfffff,3864.0,138.4,5
298,88344cc035fffff,3799.0,63.33,3
299,88344cc035fffff,3799.0,63.33,3
300,88344cc181fffff,3829.25,61.0,1
301,8834412697fffff,3944.75,58.5,2
302,88344cc03dfffff,3891.0,35.5,2
303,88344cd355fffff,4679.5,75.0,2
304,88344cc195fffff,3924.0,41.25,2
305,88344cc007fffff,3977.25,22.5,1
306,88344cc99bfffff,4051.75,49.62,6
307,88344cc99bfffff,4051.75,49.62,6
308,88344cc031fffff,4033.5,33.0,1
309,883441275dfffff,4411.0,51.83,2
310,88344cc001fffff,4059.0,41.02,17
311,88344cc1ddfffff,4101.75,80.0,1
312,883441ac93fffff,5444.75,142.0,9
313,883441ac93fffff,5444.75,142.0,9
314,883441ac93fffff,5444.75,142.0,9
315,883441ac93fffff,5444.75,142.0,9
316,88344cc8d9fffff,4146.75,41.59,17
317,88344cc8d9fffff,4146.75,41.59,17
318,8834412691fffff,4225.5,48.67,3
319,8834412691fffff,4225.5,48.67,3
320,8834413081fffff,6861.0,34.96,12
321,8834413767fffff,6603.75,70.0,3
322,8834413767fffff,6603.75,70.0,3
323,883441364bfffff,5748.5,35.04,6
324,88344cc89dfffff,4207.25,60.81,5
325,883441370dfffff,6605.0,40.0,1
326,8834413755fffff,6307.75,42.17,3
327,88344131d1fffff,7808.0,28.92,2
328,88344126b7fffff,4322.25,45.0,1
329,88344cd017fffff,4732.25,45.0,1
330,88344cc039fffff,4275.75,43.17,3
331,88344cd0edfffff,4814.5,46.94,6
332,8834413641fffff,5846.0,35.5,8
333,88344cdb37fffff,5330.25,55.9,5
334,88344cd309fffff,4755.75,38.75,2
335,88344cd309fffff,4755.75,38.75,2
336,88344cc8a7fffff,4281.5,50.12,4
337,88344cc8a7fffff,4281.5,50.12,4
338,88344cc8a7fffff,4281.5,50.12,4
339,88344cc8a7fffff,4281.5,50.12,4
340,88344130dbfffff,6802.75,61.33,3
341,883441ac97fffff,5720.25,56.75,4
342,883441ac97fffff,5720.25,56.75,4
343,883441ac97fffff,5720.25,56.75,4
344,883441ac97fffff,5720.25,56.75,4
345,883441ac97fffff,5720.25,56.75,4
346,883441ac97fffff,5720.25,56.75,4
347,88344cc227fffff,4669.5,26.67,1
